Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,101552-376,Hammonds™ Super Snack Mix Green/Trailblazer,Green/Trailblazer,,1571,,,,,,,,,,,,,,,,,,,,
GEM,101552-663,Hammonds™ Super Snack Mix Pink/Perfect Balance,Pink/Perfect Balance,,2638,,,,,,,,,,,,,,,,,,,,
GEM,101552-732,Hammonds™ Super Snack Mix Yellow/Sunny Day,Yellow/Sunny Day,,2310,,,,,,,,,,,,,,,,,,,,
GEM,101553,Aviana™ Let's Do Lunch Gourmet Cooler,"The Aviana™ Cooler Collection features quilted details, satin nickel accents, and soft nylon fabric. All items shown are packaged inside the 12 can backpack with adjustable straps. Plenty of room to add additional swag to create a custom and unique theme gift. Includes pistachio cherry cookies, dipping pretzels, sweet and tangy mustard, berry nut mix, cinnamon seed bar and a maple waffle to naturally fuel your day all packaged in a reusable drawstring gift bag.",,,,,20,49,58.99,P,50,99,52.07,Q,100,299,46.34,R,300,600,44.98,R
GEM,101553-001,Aviana™ Let's Do Lunch Gourmet Cooler Black,Black,,358,,,,,,,,,,,,,,,,,,,,
GEM,101553-410,Aviana™ Let's Do Lunch Gourmet Cooler Navy,Navy,,0,,,,,,,,,,,,,,,,,,,,
GEM,101560,Movie Night Gourmet Popcorn Gift Set,"Whether a welcome gift for a new home, a fun team reward for the breakroom, a themed event or a promotional perk, this gift set of non-GMO Project Verified kernels with multiple seasonings is sure to please any craving. Includes W&P® Popcorn Popper, Urban Accent Assorted Popcorn Kernels, and Seasonings.",,,,,12,24,39.98,S
GEM,101560-001,Movie Night Gourmet Popcorn Gift Set Black,Black,,7493,,,,,,,,,,,,,,,,,,,,
GEM,101560-410,Movie Night Gourmet Popcorn Gift Set Navy-White,Navy-White,,445,,,,,,,,,,,,,,,,,,,,
GEM,101564,Igloo Seadrift Celebrate Good Times Gourmet Cooler,"The 12 can capacity Igloo Seadrift Snap Down Cooler includes Hammonds® Sunny Day Super Snack Mix (7.5 oz), Hammonds® Sweet & Cheesy Popcorn(5 oz), Milk Bar Chocolate Chip, Pretzel and Potato Chip Cookies (6.5 oz), 88 Acres Dark Chocolate Sea Salt Seed Bar (1.6 oz), East Shore Sween N'Tangy mustard (1.5 oz) and dipping pretzels (2 oz). This popular cooler with an abundance of gourmet treats makes a perfect thank you gift and will be used long after the goodies are gone.",,,,,8,24,90.27,P,25,49,77.42,Q,50,99,62.39,S,100,200,59.98,S
GEM,101564-038,Igloo Seadrift Celebrate Good Times Gourmet Cooler White-Grey,White-Grey,,1381,,,,,,,,,,,,,,,,,,,,
GEM,101564-039,Igloo Seadrift Celebrate Good Times Gourmet Cooler Black-Grey,Black-Grey,,979,,,,,,,,,,,,,,,,,,,,
GEM,101564-777,Igloo Seadrift Celebrate Good Times Gourmet Cooler Navy-White,Navy-White,,1138,,,,,,,,,,,,,,,,,,,,
GEM,101566,Greeting Card,This greeting card is the finishing touch. The white card stock is your canvas to be creative on one side or two. Add full-color art and include a special message. Personalization is available. See the Decoration Charges Guide for more details. 25+ names must be submitted in an electronic file,,,,,6,49,3.47,V,50,99,3.28,V,100,299,3.12,V,300,600,3,V
GEM,101566-100,Greeting Card White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,101567,Gift Box Greeting Card,"This greeting card is the finishing touch. Designed to coordinate with our mailer gift box, add a special message of your design. Personalization available. See Decoration Charges Guide for more details. 25+ names must be submitted in an electronic file.",,,,,6,49,3.47,V,50,99,3.28,V,100,299,3.12,V,300,600,3,V
GEM,101567-100,Gift Box Greeting Card White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,101568,Happy Holidays Greeting Card,This Holiday greeting card is the finishing touch. On the front side of the card is a classic Happy Holiday Greeting. The back side is is free to include a special message. Personalization available. See Decoration Charges Guide for more details. 25+ names must be submitted in an electronic file.,,,,,6,49,3.47,V,50,99,3.28,V,100,299,3.12,V,300,600,3,V
GEM,101568-100,Happy Holidays Greeting Card White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,101569,Thank You Greeting Card,This greeting card is the finishing touch. The Thank You is pre-printed on the front of the card and the back side is your canvas to add a special message of your design. Personalization is available. See the Decoration Charges Guide for more details. 25+ names must be submitted in an electronic file,,,,,6,49,3.47,V,50,99,3.28,V,100,299,3.12,V,300,600,3,V
GEM,101569-100,Thank You Greeting Card White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,101570,Custom Gift Box Seal,"Add a finishing touch with a customized box seal. Add a logo, event design or fun message to support your theme and enhance brand appeal. The seal will be positioned over the center opening where the gift box closes as shown in images. Can be used wherever a box mailer is included with a gift or when a mailer is purchased separately to create your own kit using one of these box mailers (items 977, 978, 980 and 981)",,,,,6,49,1.72,V,50,99,1.62,V,100,299,1.55,V,300,600,1.49,V
GEM,101570-100,Custom Gift Box Seal White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,101574,Cuisinart®  Smashburger Press Tool,"Create perfect, flavorful burger patties every time with this heavy-duty Smashburger Press Tool! From Cuisinart®, this 6"" cast iron tool creates a caramelized crust - just place a loosely shaped ball of meat on your oiled skillet or griddle, then press down. This cooking tool helps lock in the juices when pressing down to create crispy, cracked edges and a juicy center. A Cuisinart® box is included.",,,,,25,49,30.07,P,50,99,25.79,Q,100,299,20.78,S,300,600,19.98,S
GEM,101574-001,Cuisinart®  Smashburger Press Tool Black,Black,,478,,,,,,,,,,,,,,,,,,,,
GEM,101576,Courant MAG 1: Essentials,The MAG:1 is a low-profile magnetic charger wrapped in designer-quality Belgian Linen and a durable ABS coated frame,,,,,12,24,89.11,P,25,49,76.42,Q,50,99,57.19,T,100,200,54.99,T
GEM,101576-019,Courant MAG 1: Essentials Charcoal,Charcoal,,1092,,,,,,,,,,,,,,,,,,,,
GEM,101576-273,Courant MAG 1: Essentials Natural,Natural,,1489,,,,,,,,,,,,,,,,,,,,
GEM,101578,Out of The Woods® Tech Folio,"All Out of the Woods products features Supernatural Paper™ which is sustainable, washable, and vegan. Supernatural Paper™ is FSC®-certified (FSC® C175379) made of tree cellulose, a renewable resource, from responsibly managed forests. The organizer that does the heavy lifting for you. Designed to keep your tech essentials all in one place, this Tech Folio is the only thing you need to carry.",,,,,8,24,52.65,P,25,49,45.16,Q,50,99,36.39,S,100,200,34.98,S
GEM,101578-920,Out of The Woods® Tech Folio Ebony,Ebony,,546,,,,,,,,,,,,,,,,,,,,
GEM,101579,Out of The Woods® Tech Sleeve,"All Out of the Woods products features Supernatural Paper™ which is sustainable, washable, and vegan.  Supernatural Paper™ is FSC®-certified (FSC® C175379) made of tree cellulose, a renewable resource, from responsibly managed forests. The perfect accessory cushioned to protect your tablet. This sleek case is great on its own or tucks easily into a bag. To care for your product, hand wash in warm water with a mild detergent or soap. Do not machine wash.",,,,,12,24,37.6,P,25,49,32.25,Q,50,99,25.99,S,100,200,24.98,S
GEM,101579-920,Out of The Woods® Tech Sleeve Ebony,Ebony,,2121,,,,,,,,,,,,,,,,,,,,
GEM,101580,Out of The Woods® Desktop Blotter,"All Out of the Woods products features Supernatural Paper™ which is sustainable, washable, and vegan.  Supernatural Paper™ is FSC®-certified (FSC® C175379) made of tree cellulose, a renewable resource, from responsibly managed forests. The perfect desktop accessory to elevate your work-from-home setup. The Desk Mat creates a sleek workspace to inspire creativity and optimize productivity.",,,,,20,49,30.08,P,50,99,25.8,Q,100,299,20.79,S,300,600,19.98,S
GEM,101580-920,Out of The Woods® Desktop Blotter Ebony,Ebony,,2878,,,,,,,,,,,,,,,,,,,,
GEM,101581,Out of the Woods® Pen Holder,"All Out of the Woods products feature Supernatural Paper™ which is sustainable, washable and vegan. Supernatural Paper™ is FSC®-certified (FSC® C175379) made of tree cellulose, a renewable resource, from responsibly managed forests. This pen holder is perfect for holding your writing instruments and office accessories while keeping your desktop in stylish order.  To care for your product, hand wash in warm water with a mild detergent or soap. Do not machine wash.",,,,,25,49,19.55,P,50,99,16.76,Q,100,299,13.51,S,300,600,12.98,S
GEM,101581-920,Out of the Woods® Pen Holder Ebony,Ebony,,1667,,,,,,,,,,,,,,,,,,,,
GEM,101582,Out of The Woods® Zip Pouch,"All Out of the Woods products feature Supernatural Paper™ which is sustainable, washable, and vegan. Supernatural Paper™ is FSC®-certified (FSC® C175379) made of tree cellulose, a renewable resource, from responsibly managed forests. It’s in the bag. A versatile light-weight pouch for to organize what you need when you need it. The accessories pouch holds everything from office accessories to essential toiletries.",,,,,25,49,19.55,P,50,99,16.76,Q,100,299,13.51,S,300,600,12.98,S
GEM,101582-920,Out of The Woods® Zip Pouch Ebony,Ebony,,4053,,,,,,,,,,,,,,,,,,,,
GEM,101588,Out of The Woods® Walrus,"All Out of the Woods products feature our signature Supernatural Paper®. It’s sustainable, vegan, and even washable!",,,,,12,24,69.2,P,25,49,59.35,Q,50,99,47.82,S,100,200,45.98,S
GEM,101588-237,Out of The Woods® Walrus Sahara,Sahara,,2690,,,,,,,,,,,,,,,,,,,,
GEM,101589,Out of The Woods® Dolphin Mini Lunch,"The Dolphin Mini Lunch is a fun-size version of a classic square cooler. All Out of the Woods products feature our signature Supernatural Paper®. It’s sustainable, vegan, and even washable!",,,,,12,24,51.14,P,25,49,43.86,Q,50,99,35.34,S,100,200,33.98,S
GEM,101589-130,Out of The Woods® Dolphin Mini Lunch Stone,Stone,,3559,,,,,,,,,,,,,,,,,,,,
GEM,101596,Bamboo Aromatic Oil Diffuser,Aromatherapy is a method of promoting moments of calm and relaxation. This Ultrasonic Real Bamboo Aromatherapy Oil Diffuser is extremely quiet and heat free. Ultrasonic diffusing is one of the best aromatherapy methods – fill the inner chamber with water & add a few drops of essential oil. Essential oils are not included with this diffuser however a list of calming essential oil suggestions is included with instructions.,,,,,8,24,83.32,P,25,49,71.46,Q,50,99,62.38,R,100,200,59.98,R
GEM,101596-231,Bamboo Aromatic Oil Diffuser Bamboo,Bamboo,,0,,,,,,,,,,,,,,,,,,,,
GEM,101600,La Cuisine Serving Tray,"Why they will love it! This tray is a natural multi-tasker! Handcrafted of stunning acacia wood, our La Cuisine Serving Tray was inspired by the love of a French Charcuterie. Made from Acacia wood, this wood tray is a lovely addition to the home or office. The tray can be used to help keep a desk or table organized, to beautiful entertaining tray for barware or a charcuterie spread and will also be perfect when serving breakfast in bed.",,,,,12,24,62.48,P,25,49,53.59,Q,50,99,46.78,R,100,200,44.98,R
GEM,101600-214,La Cuisine Serving Tray Wood,Wood,,0,,,,,,,,,,,,,,,,,,,,
GEM,101602,Heritage Supply Traveling Mixologist Tote Kit,"Everything you need to make a fantastic cocktail on the go - just bring the spirits! Introducing this Traveling Mixologist Bartender Kit. Whether on a river boat, camping trip, tailgater or enjoying an evening in the backyard with friends these tools showcase your mixology skills and the handsome easy to carry-along tote is casually suited for the journey.",,,,,8,24,125,P,25,49,107.2,Q,50,99,93.59,R,100,200,89.98,R
GEM,101602-260,Heritage Supply Traveling Mixologist Tote Kit Dune,Dune,,995,,,,,,,,,,,,,,,,,,,,
GEM,101611,Valo Ceramic Lidded Mug - 14 Oz.,"Upgrade your morning coffee routine and help eliminate single-use cups and bottles with the new Valo Ceramic Lidded Mug. Featuring modern neutral colors that go with just about anything, this mug is functional, stylish, and eco-friendly. Press-down lid with sliding closure helps keep your coffee or tea warm. Recommend handwashing to preserve the longevity of your drinkware. Please remove cork bottom before washing. Holds 14 ounces of liquid",,,,,50,99,15.26,P,100,299,13.08,Q,300,999,11.42,R,1000,2000,10.98,R
GEM,101611-001,Valo Ceramic Lidded Mug - 14 Oz. Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,101611-294,Valo Ceramic Lidded Mug - 14 Oz. Bone,Bone,,0,,,,,,,,,,,,,,,,,,,,
GEM,101611-769,Valo Ceramic Lidded Mug - 14 Oz. Sage Gray,Sage Gray,,0,,,,,,,,,,,,,,,,,,,,
GEM,101612,Valo Ceramic Tumbler - 16 Oz.,"Upgrade your morning coffee routine and help eliminate single-use cups and bottles with the new Valo Ceramic Tumbler. Featuring modern neutral colors that go with just about anything, this tumbler is functional, stylish, and eco-friendly. Recommend handwashing to preserve the longevity of your drinkware. Because of the single wall construction, not recommended for hot liquids or for use in microwave. Holds 16 ounces of liquid.",,,,,30,49,18.03,P,50,99,15.47,Q,100,299,13.5,R,300,600,12.98,R
GEM,101612-001,Valo Ceramic Tumbler - 16 Oz. Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,101612-294,Valo Ceramic Tumbler - 16 Oz. Bone,Bone,,0,,,,,,,,,,,,,,,,,,,,
GEM,101612-769,Valo Ceramic Tumbler - 16 Oz. Sage Gray,Sage Gray,,0,,,,,,,,,,,,,,,,,,,,
GEM,101613,Valo Ceramic To-Go Cup - 18 Oz.,"Upgrade your daily iced coffee routine and help eliminate single-use cups and bottles with the new Valo Ceramic To-Go Cup. Featuring modern neutral colors that go with just about anything, this to-go cup is functional, stylish, and eco-friendly. Because of the straw lid, we do not recommend for use with warm or hot liquids. Holds 18 ounces of liquid",,,,,30,49,20.81,P,50,99,17.85,Q,100,299,15.58,R,300,600,14.98,R
GEM,101613-001,Valo Ceramic To-Go Cup - 18 Oz. Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,101613-294,Valo Ceramic To-Go Cup - 18 Oz. Bone,Bone,,0,,,,,,,,,,,,,,,,,,,,
GEM,101613-769,Valo Ceramic To-Go Cup - 18 Oz. Sage Gray,Sage Gray,,0,,,,,,,,,,,,,,,,,,,,
GEM,101615,Igloo® Packable Puffer 10-Can Cooler Bag,"Featuring recycled materials and a convenient packable feature, this roomy Igloo® cooler is the perfect size for the office or lunch in the parking lot. REPREVE® performance fiber exterior material made from recycled post-consumer plastic bottles. Primaloft® Gold insulation made from 100% post-consumer recycled fibers. Holds 10 cans. PVC Free.",,,,,20,49,49.63,P,50,99,42.57,Q,100,299,34.3,S,300,600,32.98,S
GEM,101615-001,Igloo® Packable Puffer 10-Can Cooler Bag Black,Black,,3989,,,,,,,,,,,,,,,,,,,,
GEM,101615-381,Igloo® Packable Puffer 10-Can Cooler Bag Aqua Gray,Aqua Gray,,536,,,,,,,,,,,,,,,,,,,,
GEM,101616,Igloo® Packable Puffer 20-Can Cooler Bag,"Featuring recycled materials and a convenient packable feature, this roomy Igloo® cooler is the perfect size for the office or lunch in the park. REPREVE® performance fiber exterior material made from recycled post-consumer plastic bottles. Primaloft® Gold insulation made from 100% post-consumer recycled fibers. Holds 20 cans. PVC Free.",,,,,20,49,64.68,P,50,99,55.47,Q,100,299,44.7,S,300,600,42.98,S
GEM,101616-001,Igloo® Packable Puffer 20-Can Cooler Bag Black,Black,,2871,,,,,,,,,,,,,,,,,,,,
GEM,101616-381,Igloo® Packable Puffer 20-Can Cooler Bag Aqua Gray,Aqua Gray,,389,,,,,,,,,,,,,,,,,,,,
GEM,101617,Igloo® Fundamentals Artisan Gourmet Cooler,"Inside the cooler, a reusable gift bag is filled with a generous assortment of delicious sweet & savory gourmet goodies that will impress even the most sophisticated foodie. Want to add a journal, pen or drinkware? Contact us to assist in kitting a unique gift. Food Net Weight 1.51 lb. Food components are made in USA. All items are packaged in an eco-friendly gift bag.",,,,,8,24,85.22,P,25,49,75.21,Q,50,99,61.79,S,100,200,59.98,S
GEM,101617-973,Igloo® Fundamentals Artisan Gourmet Cooler Black-Dark Grey,Black-Dark Grey,,1381,,,,,,,,,,,,,,,,,,,,
GEM,101620,La Cuisine Cheese & Fruit Board,"This mini wood board is perfect for little a lovely addition to the home or office. We love this board for its handy size and it is perfect for slicing and presenting cocktail garnishes and fruit. A beautiful way to serve cheese, meats, olives, breads and any other appetizers. This versatile board is the same on both sides so can be used as a cutting surface for everyday food preparation and for serving.",,,,,30,49,27.76,P,50,99,23.81,Q,100,299,20.78,R,300,600,19.98,R
GEM,101620-214,La Cuisine Cheese & Fruit Board Wood,Wood,,1596,,,,,,,,,,,,,,,,,,,,
GEM,101622,Bake Someone Happy,"This Grab & Go gift bag will bake someone happy! Make their day with this duo of delectable Maine made Stonewall Kitchen favorites. Consider adding one of our La Cuisine baking essentials inside the bag to create your own theme gift. You can't go wrong. It's fun, simple and most importantly, delicious!",,,,,12,24,46.86,P,25,49,41.36,Q,50,99,33.98,S,100,200,32.99,S
GEM,101622-101,Bake Someone Happy Natural,Natural,,159,,,,,,,,,,,,,,,,,,,,
GEM,101635,Repeat Recycled Poly Backpack,A modern and sustainable update to a classic backpack using recycled fabric and webbing made from plastic bottles. Front zippered pocket with slash pocket. Zippered main compartment for secure storage. Side mesh bottle pocket. Top grab handle with back panel trolley strap. PVC Free Product,,,,,50,99,19.42,P,100,299,16.66,Q,300,999,14.54,R,1000,2000,13.98,R
GEM,101635-031,Repeat Recycled Poly Backpack Medium Grey,Medium Grey,,11167,,,,,,,,,,,,,,,,,,,,
GEM,101635-320,Repeat Recycled Poly Backpack Kelly Green,Kelly Green,,1991,,,,,,,,,,,,,,,,,,,,
GEM,101635-430,Repeat Recycled Poly Backpack Royal Blue,Royal Blue,,4939,,,,,,,,,,,,,,,,,,,,
GEM,101635-610,Repeat Recycled Poly Backpack Red,Red,,2106,,,,,,,,,,,,,,,,,,,,
GEM,101636,Repeat Recycled Poly Sling,A modern and sustainable update to a classic sling bag using recycled fabric and webbing made from plastic bottles. Front zippered pocket for storing accessories. Dual zippered opening to large main compartment. This product is kid-friendly/CPSIA compliant. PVC Free Product.,,,,,50,99,12.48,P,100,299,10.7,Q,300,999,9.34,R,1000,2000,8.98,R
GEM,101636-031,Repeat Recycled Poly Sling Medium Grey,Medium Grey,,20,,,,,,,,,,,,,,,,,,,,
GEM,101636-320,Repeat Recycled Poly Sling Kelly Green,Kelly Green,,0,,,,,,,,,,,,,,,,,,,,
GEM,101636-430,Repeat Recycled Poly Sling Royal Blue,Royal Blue,,0,,,,,,,,,,,,,,,,,,,,
GEM,101636-610,Repeat Recycled Poly Sling Red,Red,,18,,,,,,,,,,,,,,,,,,,,
GEM,101637,Repeat Recycled Poly Tote,"A modern and sustainable update to a classic tote bag using recycled fabric and webbing made from plastic bottles. Front hidden zippered pocket. 25.75"" shoulder straps. This product is kid-friendly/CPSIA compliant. PVC Free Product",,,,,50,99,11.78,P,100,299,10.11,Q,300,999,8.82,R,1000,2000,8.48,R
GEM,101637-031,Repeat Recycled Poly Tote Medium Grey,Medium Grey,,6714,,,,,,,,,,,,,,,,,,,,
GEM,101637-320,Repeat Recycled Poly Tote Kelly Green,Kelly Green,,1045,,,,,,,,,,,,,,,,,,,,
GEM,101637-430,Repeat Recycled Poly Tote Royal Blue,Royal Blue,,6324,,,,,,,,,,,,,,,,,,,,
GEM,101637-610,Repeat Recycled Poly Tote Red,Red,,448,,,,,,,,,,,,,,,,,,,,
GEM,101638,Repeat Recycled Poly Cinchpack,A modern and sustainable update to a classic cinchpack using recycled fabric and webbing made from plastic bottles. Heavy Gauged Contrast Cord drawstring closure and interior zippered pocket. This product is kid-friendly/CPSIA compliant. PVC Free Product.,,,,,50,99,11.09,P,100,299,9.51,Q,300,999,8.3,R,1000,2000,7.98,R
GEM,101638-031,Repeat Recycled Poly Cinchpack Medium Grey,Medium Grey,,4906,,,,,,,,,,,,,,,,,,,,
GEM,101638-320,Repeat Recycled Poly Cinchpack Kelly Green,Kelly Green,,1789,,,,,,,,,,,,,,,,,,,,
GEM,101638-430,Repeat Recycled Poly Cinchpack Royal Blue,Royal Blue,,3298,,,,,,,,,,,,,,,,,,,,
GEM,101638-610,Repeat Recycled Poly Cinchpack Red,Red,,2523,,,,,,,,,,,,,,,,,,,,
GEM,101641,Igloo® Playmate Pal™ 7 Qt Cooler,The Igloo® Playmate Pal™ is an iconic and versatile 9-can hard-sided cooler,,,,,20,49,45.12,P,50,99,38.7,Q,100,299,31.18,S,300,600,29.98,S
GEM,101641-876,Igloo® Playmate Pal™ 7 Qt Cooler White-Black,White-Black,,371,,,,,,,,,,,,,,,,,,,,
GEM,101641-886,Igloo® Playmate Pal™ 7 Qt Cooler White-Red Star,White-Red Star,,402,,,,,,,,,,,,,,,,,,,,
GEM,101641-887,Igloo® Playmate Pal™ 7 Qt Cooler White-Majestic Blue,White-Majestic Blue,,687,,,,,,,,,,,,,,,,,,,,
GEM,101642,Igloo® Playmate Elite 16 Qt Cooler,The Igloo® Playmate Elite is an iconic and versatile 30-can hard-sided cooler.,,,,,12,24,60.17,P,25,49,51.6,Q,50,99,41.58,S,100,200,39.98,S
GEM,101642-876,Igloo® Playmate Elite 16 Qt Cooler White-Black,White-Black,,222,,,,,,,,,,,,,,,,,,,,
GEM,101642-886,Igloo® Playmate Elite 16 Qt Cooler White-Red Star,White-Red Star,,794,,,,,,,,,,,,,,,,,,,,
GEM,101642-887,Igloo® Playmate Elite 16 Qt Cooler White-Majestic Blue,White-Majestic Blue,,310,,,,,,,,,,,,,,,,,,,,
GEM,101650,Samsonite Elevation™ Plus Carry-On Spinner,Bring stylish convenience on your next journey with the Elevation™ Carry-on Spinner,,,,,6,24,331.03,P,25,49,283.9,Q,50,99,228.78,S,100,200,219.98,S
GEM,101650-001,Samsonite Elevation™ Plus Carry-On Spinner Black,Black,,67,,,,,,,,,,,,,,,,,,,,
GEM,101652,Courant MAG 2: Essentials,The perfect accessory for an iPhone and AirPods user. Magnetically snap-on your iPhone 12/13/14 on the charging stand and place your wireless charging AirPods on the base.,,,,,6,24,178.23,P,25,49,152.86,Q,50,99,114.39,T,100,200,109.99,T
GEM,101652-019,Courant MAG 2: Essentials Charcoal,Charcoal,,785,,,,,,,,,,,,,,,,,,,,
GEM,101652-273,Courant MAG 2: Essentials Natural,Natural,,846,,,,,,,,,,,,,,,,,,,,
GEM,101658,Osprey Ultralight Dry Sack 3L,"Designed to keep the contents of your pack organized and bone dry, Osprey’s Dry Sacks provide the security of waterproof gear storage and organization for optimized packing. Roll top waterproof closure. Waterproof coated fabric and seams. Rectangular shape for efficient packing. Backed by Osprey’s All Mighty Guarantee",,,,,25,49,26.61,S,50,99,25.1,S,100,299,23.9,S,300,600,22.98,S
GEM,101658-001,Osprey Ultralight Dry Sack 3L Black,Black,,40,,,,,,,,,,,,,,,,,,,,
GEM,101659,Osprey Ultralight Dry Sack 6L,"Designed to keep the contents of your pack organized and bone dry, Osprey’s Dry Sacks provide the security of waterproof gear storage and organization for optimized packing. Roll top waterproof closure. Waterproof coated fabric and seams. Backed by Osprey’s All Mighty Guarantee.",,,,,20,49,28.92,S,50,99,27.28,S,100,299,25.98,S,300,600,24.98,S
GEM,101659-001,Osprey Ultralight Dry Sack 6L Black,Black,,389,,,,,,,,,,,,,,,,,,,,
GEM,101660,Osprey Ultralight Dry Sack 12L,"Designed to keep the contents of your pack organized and bone dry, Osprey’s Dry Sacks provide the security of waterproof gear storage and organization for optimized packing. Roll top waterproof closure. Waterproof coated fabric and seams. Backed by Osprey’s All Mighty Guarantee.",,,,,20,49,33.55,S,50,99,31.65,S,100,299,30.14,S,300,600,28.98,S
GEM,101660-001,Osprey Ultralight Dry Sack 12L Black,Black,,24,,,,,,,,,,,,,,,,,,,,
GEM,101662,Osprey Ultralight Padded Organizer,"When you’re traveling with delicate or sharp items, you’ll appreciate the functional beauty of Osprey’s Ultralight Padded Organizer. It is sized to comfortably encase a pint of single malt scotch and a half dozen cigars. Backed by Osprey’s All Mighty Guarantee",,,,,12,24,40.5,S,25,49,38.2,S,50,99,36.38,S,100,200,34.98,S
GEM,101662-001,Osprey Ultralight Padded Organizer Black,Black,,285,,,,,,,,,,,,,,,,,,,,
GEM,101663,Osprey Ultralight Stuff Pack,"Tuck Osprey’s ultra-light Stuff Pack in the bottom of your duffel bag and you’re always prepared for a spontaneous hike or shopping excursion. Weighing in at a mere four ounces, this tiny pack boasts heavyweight features. Backed by Osprey’s All Mighty Guarantee",,,,,8,24,57.86,S,25,49,54.58,S,50,99,51.98,S,100,200,49.98,S
GEM,101663-001,Osprey Ultralight Stuff Pack Black,Black,,411,,,,,,,,,,,,,,,,,,,,
GEM,101665,Igloo® Moxie Medium Duffel Cooler,"Athleisure-inspired Igloo® cooler collection ideal for gym, errands, and sports outings.",,,,,8,24,99.29,P,25,49,85.16,Q,50,99,68.62,S,100,200,65.98,S
GEM,101665-086,Igloo® Moxie Medium Duffel Cooler Heather Gray,Heather Gray,,2935,,,,,,,,,,,,,,,,,,,,
GEM,101666,Igloo® Moxie Cinch Backpack Cooler,"Athleisure-inspired Igloo® cooler collection ideal for gym, errands, and sports outings",,,,,8,24,90.26,P,25,49,77.41,Q,50,99,62.38,S,100,200,59.98,S
GEM,101666-086,Igloo® Moxie Cinch Backpack Cooler Heather Gray,Heather Gray,,2951,,,,,,,,,,,,,,,,,,,,
GEM,101667,Osprey Ultralight Packing Cube Set,Our philosophy for travel is simple: make it easier to organize and pack your gear when traveling so that you can spend more time enjoying your experience,,,,,8,24,54.39,S,25,49,51.31,S,50,99,48.86,S,100,200,46.98,S
GEM,101667-001,Osprey Ultralight Packing Cube Set Black,Black,,8,,,,,,,,,,,,,,,,,,,,
GEM,101668,CORKCICLE® Cold Cup - 24 Oz.,"The new CORKCICLE® Cold Cup is the perfect drinkware for iced teas, smoothies, and more",,,,,12,24,64.68,P,25,49,55.47,Q,50,99,44.7,S,100,200,42.98,S
GEM,101668-006,CORKCICLE® Cold Cup - 24 Oz. Matte Black,Matte Black,,3692,,,,,,,,,,,,,,,,,,,,
GEM,101668-100,CORKCICLE® Cold Cup - 24 Oz. White,White,,3345,,,,,,,,,,,,,,,,,,,,
GEM,101668-372,CORKCICLE® Cold Cup - 24 Oz. Dragonfly,Dragonfly,,133,,,,,,,,,,,,,,,,,,,,
GEM,101669,W&P Lunch Box,"This new Porter lunch box keeps food crisp, fresh, and separate for the ultimate to-go meal, making it the ideal companion for everything from weekday commutes to summer picnics. Stylish, bento box design features 3 separate compartments with enough space for sandwiches, salads, fruits, veggies or snacks.",,,,,25,49,42.11,P,50,99,36.12,Q,100,299,29.1,S,300,600,27.98,S
GEM,101669-088,W&P Lunch Box Charcoal,Charcoal,,1308,,,,,,,,,,,,,,,,,,,,
GEM,101669-369,W&P Lunch Box Mint,Mint,,1014,,,,,,,,,,,,,,,,,,,,
GEM,101669-654,W&P Lunch Box Blush,Blush,,1442,,,,,,,,,,,,,,,,,,,,
GEM,101670,W&P Mug -16 oz,"The Porter Mug is a stylish update to disposable to-go cups so you can say peace out to single-use plastics. High quality ceramic for the smoothest sipping experience with ZERO metallic aftertaste. The matte silicone sleeve is grippable, soft on the hands, and prevents scratches on the surface.",,,,,25,49,52.64,P,50,99,45.15,Q,100,299,36.38,S,300,600,34.98,S
GEM,101670-088,W&P Mug -16 oz Charcoal,Charcoal,,1391,,,,,,,,,,,,,,,,,,,,
GEM,101670-274,W&P Mug -16 oz Cream,Cream,,1136,,,,,,,,,,,,,,,,,,,,
GEM,101671,Osprey Daylite® Toiletry Kit,"Keep your travel necessities secure with Osprey’s Daylite® Toiletry Kit""",,,,,20,49,28.92,S,50,99,27.28,S,100,299,25.98,S,300,600,24.98,S
GEM,101671-001,Osprey Daylite® Toiletry Kit Black,Black,,308,,,,,,,,,,,,,,,,,,,,
GEM,101672,W&P Drink Through Insulated Ceramic Bottle -20 oz,"Edge-to-edge ceramic coating ensures liquids never touch metal for a pure, clean taste. Double-walled, vacuum insulated stainless steel core keeps drinks hot for 12 hours and cold for 24 hours. Leakproof  drink through lid means you can toss this bottle into your bag and not worry about spills. Sleek silver handle stores neatly away until needed. BPA Free",,,,,25,49,82.74,P,50,99,70.96,Q,100,299,57.18,S,300,600,54.98,S
