Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Hub,101,Aeropure Stylus Pen,"For the ultimate promo pen package, look no further. The Aeropure features a
citrus-scented antibacterial sanitizer spray with 62% alcohol and functional
stylus to allow you to operate touch screens hands-free and clean your hands
when you must touch a surface. With a large imprint space front and center, your
brand is sure to stand out. Pen is operated by a twist-action retraction and
comes through the stylus tip when extended.
Hub,426WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,426SIL/BLK,Silver with Black Ink,Silver with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,427,Cubano Comfort Pen,"The famous Cubano Comfort offers the ever-so-popular jumbo barrel with a shining
chrome cigar band trim. Available in deep corporate colors with a soft metallic
finish, and a dimpled black rubber grip for writing comfort.
Material: Rubberized Plastic
Standard Decoration Includes: Silk Screen on Barrel, Black or White imprint only

All Available Decoration Options:
Silk Screen: 1.625"" W x 0.5"" H Barrel
Full Color Digital: 2"" W x 0.25"" H Barrel
Full Color Digital: 2.25"" W x 0.25"" H Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=427/]
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.9,A,500,999,0.83,A,1000,4999,0.71,A,5000,10000,0.68,A
Hub,427BURG/BLK,Burgundy with Black Ink,Burgundy with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,427DKGRN/BLK,Forest Green with Black Ink,Forest Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,427GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,427BLUE/BLK,Midnight Blue with Black Ink,Midnight Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,428,Cubano Pen,"Jumbo barrel in pearlized corporate colors with a generous imprint area. Shining
chrome cigar band trim sets off imprint. Dimpled black rubber grip provides
writing comfort. Super smooth black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=428/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.71,A,1000,4999,0.67,A,5000,10000,0.61,A
Hub,428BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,428BLUE/BLK,Dark Blue with Black Ink,Dark Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,428GRN/BLK,Forest Green with Black Ink,Forest Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,428RED/BLK,Cinnamon Red with Black Ink,Cinnamon Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,429,Zumba Pen,"Bright translucent jumbo barrel has a generous imprint area. Shining chrome
cigar band trim sets off imprint. Dimpled black rubber grip provides writing
comfort. Super smooth black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.71,A,1000,4999,0.67,A,5000,10000,0.61,A
Hub,429BLK/BLK,Translucent Black with Black Ink,Translucent Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,429BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,429GRN/BLK,Translucent Green with Black Ink,Translucent Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,429ORA/BLK,Translucent Orange with Black Ink,Translucent Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,429RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,430,Torano™ Pen,"Jumbo barrel in vivid brights with a generous imprint area. Shining chrome cigar
band trim sets off imprint. Dimpled charcoal gray rubber grip provides writing
comfort. Super smooth black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=430/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.71,A,1000,4999,0.67,A,5000,10000,0.61,A
Hub,430BLUE/BLK,Island Blue with Black Ink,Island Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,430GRN/BLK,Lime Green with Black Ink,Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,430ORA/BLK,Orange with Black Ink,Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,430PINK/BLK,Berry Pink with Black Ink,Berry Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,430PUR/BLK,Lilac Purple with Black Ink,Lilac Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,431,Torano™ Translucent Pen,"Bright translucent jumbo barrel has a generous imprint area. Shining chrome
cigar band trim sets off imprint. Dimpled charcoal gray rubber grip provides
writing comfort. Super smooth black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=431/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.71,A,1000,4999,0.67,A,5000,10000,0.61,A
Hub,431BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,431GRN/BLK,Translucent Lime with Black Ink,Translucent Lime with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,431ORA/BLK,Translucent Orange with Black Ink,Translucent Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,431PINK/BLK,Translucent Pink with Black Ink,Translucent Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,431PUR/BLK,Translucent Purple with Black Ink,Translucent Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,433,Mosaic Metallic Stylus Pen,"Fashion colors and a unique grip make this Hub exclusive stand out. Shimmering
brights shine through the black grip in a mosaic pattern and the ergonomic shape
and jumbo barrel make writing comfortable. Features smooth-writing blue ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=433/]
Standard Packaging: Bulk
Tags: popular, plastic, tech, accessory, phone, tablet, tradeshow, trade, show,
desk, office, advertisement, college, grade, writing, merchandise, study, high
school, university, home",,,,,250,499,0.82,A,500,999,0.77,A,1000,4999,0.71,A,5000,10000,0.67,A
Hub,433BLUE/BLUE,Turquoise with Blue Ink,Turquoise with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,433CHA/BLUE,Champagne with Blue Ink,Champagne with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,433GRN/BLUE,Lime Green with Blue Ink,Lime Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,433PUR/BLUE,Purple with Blue Ink,Purple with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,433RED/BLUE,Garnet Red with Blue Ink,Garnet Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,436,Olindy Pen,"Translucent jumbo barrel in vibrant colors with a generous imprint area. Ribbed
rubber grip provides and supersmooth black ink for writing enjoyment.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.61,A,500,999,0.59,A,1000,4999,0.57,A,5000,10000,0.54,A
Hub,436BLK/BLK,Translucent Black with Black Ink,Translucent Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,436BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,436GRN/BLK,Translucent Green with Black Ink,Translucent Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,436RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,437,Xeedee™ Pen,"Get your bling on with this haute new pen. The diamond cut silver bands accent
shimmering barrels and a houndstooth textured grip. Smooth writing black Hybrid
ink adds to the high-end appeal.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=437/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,1.11,A,500,999,1.04,A,1000,4999,0.96,A,5000,10000,0.89,A
Hub,437BLUE/BLK,Indigo Blue with Black Ink,Indigo Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,437GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,437LIME/BLK,Lime Green with Black Ink,Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,437RED/BLK,Garnet Red with Black Ink,Garnet Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,438,Panther Pen,"Vibrant colors with chrome band and tip. Sleek ergonomic design and tapered
textured grip for writing comfort. Supersmooth writing black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.38"" W x 0.63"" H Barrel
Full Color: 1.88"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.75,A,1000,4999,0.69,A,5000,10000,0.64,A
Hub,438BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,438BLUE/BLK,Dark Blue with Black Ink,Dark Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,438RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,438WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,438YEL/BLK,Yellow with Black Ink,Yellow with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451,Spiralina Comfort Pen,"With eye-popping colors, a soft touch finish, and unique contemporary grip the
Spiralina is the perfect pen to brighten your day. The hourglass shape is
ergonomic and allows to both short and long term writing comfort. Comes standard
with smooth writing blue ink.
Material: Rubberized plastic
Standard Decoration Includes: 1 Color, 1 Location, Black or White imprint only
All Available Decoration Options:
Silk screen: 1.5"" W x 0.5"" H Barrel
Full Color: 2.5"" W x 0.25"" H Full Color Barrel
Tip Type: Ball Point
Mechanism: Click Extend
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=451/]
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.83,A,500,999,0.79,A,1000,4999,0.75,A,5000,10000,0.69,A
Hub,451LIME/BLUE,Lime Green with Blue Ink,Lime Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451ORA/BLUE,Orange with Blue Ink,Orange with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451PUR/BLUE,Purple with Blue Ink,Purple with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451RED/BLUE,Red with Blue Ink,Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451SKY/BLUE,Sky Blue with Blue Ink,Sky Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,451YEL/BLUE,Yellow with Blue Ink,Yellow with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,452,Spiralina Comfort Night Pen,"Maximize the contrast and the attention will follow. That's what happens with
our Spiralina Comfort Night pen. The deep black rubberized soft-touch barrel
contrasts boldly with the bright grip and clip accents, creating a visual
delight that looks as good as it writes. The ergonomic hourglass shape ensures
writing comfort. Features smooth writing black ink.
Material: Rubberized Plastic
Standard Decoration Includes: 1 Color, 1 Location, Black or White imprint only
All Available Decoration Options:
Silk screen: 1.5"" W x 0.5"" H Barrel
Full Color: 2.5"" W x 0.25"" H Full Color Barrel
Tip Type: Ball Point
Mechanism: Click Extend
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=452/]
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.83,A,500,999,0.79,A,1000,4999,0.75,A,5000,10000,0.69,A
Hub,452LIME/BLK,Black-Lime Green with Black Ink,Black-Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,452ORA/BLK,Black-Orange with Black Ink,Black-Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,452PUR/BLK,Black-Purple with Black Ink,Black-Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,452RED/BLK,Black-Red with Black Ink,Black-Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,452SKY/BLK,Black-Sky Blue,Black-Sky Blue,,0,,,,,,,,,,,,,,,,,,,,
Hub,452YEL/BLK,Black-Yellow with Black Ink,Black-Yellow with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,470,Zodiac Comfort Pen,"Contrasting tones aligned for a promo pen that’s out of this world. The jumbo
rubberized barrel features a ridged grip for the ultimate writing comfort,
paired with black anti-fraud ink for max protection.
Material: Rubberized Plastic
Standard Decoration Includes: Silk Screen: 1 1/2"" X 1/2"" On Barrel
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Full Color Digital: 2"" W x 0.25"" H Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.96,A,500,999,0.88,A,1000,4999,0.8,A,5000,10000,0.72,A
Hub,470BLK/BLK,Black-Gray with Black Ink,Black-Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,470BLUE/BLK,Blue-Light with Black Ink,Blue-Light with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,470RED/BLK,Red-Black with Black Ink,Red-Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,470WHT/BLK,White-Gray with Black Ink,White-Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485,Belize™ Pen,"Contemporary styling with a slim outline. Hot translucent colors with matching
ribbed comfort grip and chrome accents. Available with blue or black ink. (Blue
ink default)
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.75"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=485/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.77,A,500,999,0.71,A,1000,4999,0.64,A,5000,10000,0.57,A
Hub,485BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485BLUE/BLUE,Translucent Blue with Blue Ink (Default),Translucent Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,485GRN/BLK,Translucent Green with Black Ink,Translucent Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485GRN/BLUE,Translucent Green with Blue Ink (Default),Translucent Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,485ORA/BLK,Translucent Orange with Black Ink,Translucent Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485ORA/BLUE,Translucent Orange with Blue Ink (Default),Translucent Orange with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,485PINK/BLK,Translucent Pink with Black Ink,Translucent Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485PINK/BLUE,Translucent Pink with Blue Ink (Default),Translucent Pink with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,485PUR/BLK,Translucent Purple with Black Ink,Translucent Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485PUR/BLUE,Translucent Purple with Blue Ink (Default),Translucent Purple with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,485RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,485RED/BLUE,Translucent Red with Blue Ink (Default),Translucent Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,487,Xact™ Chrome Fine Point Pen,"Our patented hybrid ink now available in a fine point pen. Shimmering silver
barrels contrast with vivid trim for a bold statement. Ribbed rubber grip and
supersmooth writing black hybrid ink for writing enjoyment. ""HUB"" branded clip.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.86,A,500,999,0.78,A,1000,4999,0.71,A,5000,10000,0.64,A
Hub,487BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,487BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,487LIME/BLK,Lime Green with Black Ink,Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,487RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,487TEAL/BLK,Teal with Black Ink,Teal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,501SET,Tabellone Pen & Box Set,"Tabellone is Italian for billboard and with these imprint sizes you'll see why!
Your full color imprint makes a big impression with this giftable pen and box
set. Lid, interior and pen all come with your edge to edge custom imprint for so
many colorful options
Material: Plastic
Standard Decoration Includes: Full Color, 1 Location
All Available Decoration Options:
Full Color: 4.75"" W x 0.44"" H Pen Barrel
: 7.13"" W x 1.13"" H Box
: 7.13"" W x 1.13"" H Box Interior Sleeve
: 1.5"" W x 0.38"" H Pen Clip
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=501SET/]
Standard Packaging: Decorated Box
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,25,49,11.13,A,50,99,10.02,A,100,499,8.9,A,500,1000,7.79,A
Hub,501SETBLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,501SETWHI/BLK,White with Black Ink,White with Black Ink,,12,,,,,,,,,,,,,,,,,,,,
Hub,502,Graffeto Pen,"Clip this pen onto a business card for an awesome intro! Includes generous full
color imprint for a huge first impression.
Material: Plastic
Standard Decoration Includes: Full Color, 1 Location
All Available Decoration Options:
Full Color: 2.5"" W x 0.38"" H Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,2.19,A,500,999,2.12,A,1000,4999,2.03,A,5000,10000,1.96,A
Hub,502BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,502WHI/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,5202,Carpenter Pencil,"Top quality carpenter pencils with embossed foil imprint. Please allow 10 days
for custom logos. Second side imprints available. Please allow 10 days for
production.
Material: Wood
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Embossed: 6"" W x 0.38"" H Barrel
Tip Type: Graphite
Standard Packaging: Bulk
Tags: Wood, School, test, popular, golf, gambling, lotto, lottery,
advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, trade show, #2",,,,,576,1007,0.57,A,1008,5039,0.54,A,5040,10079,0.5,A,10080,20160,0.48,A
Hub,5202PCBLUE,Blue,Blue,,0,,,,,,,,,,,,,,,,,,,,
Hub,5202PCRED,Red,Red,,0,,,,,,,,,,,,,,,,,,,,
Hub,5202PCWH,White,White,,0,,,,,,,,,,,,,,,,,,,,
Hub,5202PCYEL,Yellow,Yellow,,0,,,,,,,,,,,,,,,,,,,,
Hub,567,Consuelo™ Pen,"Pearlized corporate colors and bright chrome accents combine for executive pen
appeal. The jumbo barrel and ribbed rubber grip provide ergonomic writing
comfort. Features a super smooth hybrid black ink for writing ease. Hub ""enjoy
writing"" branded clip.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,1.25,A,500,999,1.19,A,1000,4999,1.14,A,5000,10000,1.1,A
Hub,567BLK/BLK,Metallic Black with Black Ink,Metallic Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,567BLUE/BLK,Dark Blue with Black Ink,Dark Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,567GRN/BLK,Forest Green with Black Ink,Forest Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,567RED/BLK,Cinnamon Red with Black Ink,Cinnamon Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,579,Eclaire™ Bright Illuminated Stylus Pen,"Catch their eyes with the Eclair Bright Illuminated Stylus. The engraved logo is
illuminated with a scintillating spectrum of color at a press of the stylus.
Shimmering barrels in vibrant brights make the imprint pop whether illuminated
or dark.
Material: Plastic
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.25"" H Barrel
: 1.5"" W x 0.38"" H Hub Revolution (Barrel)
Tip Type: Ballpoint
Mechanism: Twist
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=579/]
Standard Packaging: Bulk
Tags: popular, plastic, tech, accessory, phone, tablet, light, dark, tradeshow,
trade, show, desk, office, multi-function, college, grade, writing, merchandise,
study, high school",,,,,100,499,2.51,A,500,999,2.39,A,1000,4999,2.3,A,5000,10000,2.2,A
Hub,579BLK/BLK,Black-Grey with Black Ink,Black-Grey with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,579LIME/BLK,Lime Green with Black Ink,Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,579LTBLUE/BLK,Turquoise with Black Ink,Turquoise with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,579ORA/BLK,Burnt Orange with Black Ink,Burnt Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,582,MaxGlide Pure Pen,"How do you take an already amazing product and make it better? Include an EPA
approved antimicrobial additive that is molded into the pen's plastic
components! With its patented construction and MaxGlide hybrid black ink, it's
the MaxGlide you love - just with a little more under the hood. Pat. #D709,950
Patent: D709,950
Material: Plastic with metal clip and rubber grip with EPA approved
antimicrobial properties
Standard Decoration Includes: 1 Color
All Available Decoration Options:
Silk screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=582/]
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,1.05,A,500,999,0.96,A,1000,4999,0.86,A,5000,10000,0.79,A
Hub,582BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,582DKBLUE/BLK,Dark Blue with Black Ink,Dark Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,582DKGRN/BLK,Dark Green with Black Ink,Dark Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,582GRAY/BLK,Light Gray with Black Ink,Light Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,582RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,583,MaxGlide® Color Write Pen,"Enjoy writing in color with this fun value add to the MaxGlide® line. So many
colors to choose from or get them all! MaxGlide® hybrid Color Write ink matches
trim color.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk screen: 1.63"" W x 0.5"" H Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.99,A,500,999,0.93,A,1000,4999,0.85,A,5000,10000,0.79,A
Hub,583LIME/LIME,Lime Green with Lime Green Ink,Lime Green with Lime Green Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,583ORA/ORA,Orange with Orange Ink,Orange with Orange Ink,,0,,,,,,,,,,,,,,,,,,,,
